literate|adj. 识字的；有读写能力的；有文化的；n. 识字的人；有学问的人
illiteracy|n. 文盲；无知；缺乏教育
numerate|v. 数；计算；读（数）；adj. 识数的；有计算能力的
problem|n. 难题；问题
issue|n. 问题；发行（物）；重要议题；流出；v. 发行；发表；流出；在…上挑起争论
affair|n. 事务；事件；暧昧关系
controversial|adj. 有争议的
puzzle|n. 谜；难题；拼图；v. （使）迷惑；（使）伤脑筋
riddle|n. 谜语；费解的事；v. 解谜；出谜；使布满窟窿；打洞
obscure|adj. 昏暗的；不清楚的；无名的；v. 使模糊；使隐晦；使费解
instil|v. 逐步渗透；逐渐灌输
cram|v. 塞满；填鸭式学习；n. 仓促备考；死记硬背
emphasise|v. 强调；着重
enhance|v. 提高；增强
enable|v. 使能够；使可能
inspire|v. 鼓舞；激励；启迪；激起；促成
motive|n. 动机；目的
motivate|v. 引起动机；激发；激励
stimulate|v. 刺激；激励
spur|n. 马刺；鞭策；v. 刺激；鞭策
impetus|n. 冲力；推动力；刺激
indulge|v. 放任；沉溺；使满足；听任
spoil|v. 宠坏；搞糟；变质；n. 赃物；战利品
abuse|v. 滥用；虐待；辱骂；n. 滥用；虐待；辱骂
intelligent|adj. 有才智的；聪明的；明智的
clever|adj. 聪明的；灵巧的
smart|adj. 聪明的；敏捷的；时髦的；衣冠楚楚的；v. 剧痛；刺痛；感到难过
all-round|adj. 全能的；多方面的；多才多艺的
genius|n. 天才；天赋
